,comment
275,Истории конечно жесть  
276,"Оказывается, для раскрытия преступлений нужна работа персонала. Тщательная и постоянная. Ну надо же)))"
277,"Саша!!! Талантлива и Обаятельная! Не соглашусь с мнением многих: я в восторге от нового формата, приятно слушать специалистов, подача материала восхищает! Горжусь, что ты продолжаешь свое любимое дело!!!"
278,"Александра, большое вам спасибо, что радуете нас выпусками своих видео. Успехов вам в дальнейшем!"
279,продолжайте в том же духе
280,"Мусора же его еще и жалеют…. Позорище, лишь бы кого то посадить, чтобы не работать…. На чьей совести стоит первое убийство.. он еще и спрашивает, так на вашей и стоит мусора! Столько косяков натворили, а кто то из них понес какое то наказание за это?! Вряд ли."
281,"Расскажите об Иртышове, это чудовище, но про него пости никто рассказывают. Что касаемо данного выпуска, я думала,что уже все знаю о Чикатило, но Вы открыли новые детали, наконец рассказали о реакции жены, так как всегда удивляет как родные не подозревают. И мне еще интересно как убив и растерзав жертву можно пойти домой. Ведь вся одежда будет в крови. Верхняя в том числе, он что ее менял? Ее надо стирать, раньше машинок не было, как жена могла не заметить стирку мужа. Интересны такие детали."
282,"Почти все преступления на совести так называемых ""сотрудников"", которые могли его в самом начале закрыть, я просто в шоке насколько люди могут быть непрофессиональные в своей области."
283,"Саша, сделайте про унабомбера ролик, пожалуйста "
284,"Очень смешно, мне заболотили, но я в подписчиках!))))"
285,"Саша,какая ты невероятная!Смотрю каждый раз на тебя и просто радуюсь,что есть такой приятный человек,спасибо большое тебе за это видео,жуткое на самом деле,страшно осознавать,что это все реально…"
286,"Саша, спасибо за столь важную работу. Надо иметь мужество для работы с этими темами."
287,"9 вечера, настало время смотреть про маньяков"
288,Жду выпуск про Джеффри Дамера
289,"Спасибо, Саша и команда! Было бы интересно узнать про маньяков 20-х, 30-х годов в СССР"
290,"Все очень круто и рад возвращению Саши. Но мне хотелось бы, чтобы она вернула тот, из дел, интонацию и ритм подачи информации. Когда слушаешь и по подаче материала понимаешь, что речь идет о чем-то страшном. А в этом выпуске у нее такой живой, радостный что ли темп и тембр получился. Сложилось ощущение, будто слушаешь подкаст не про страшного маньяка, а слушаешь новости. Чуть сбавить скорость. Чуть добавить холода и пауз в предложении и цены не будет"
291,"Саше нужно к Азамату в большое шоу, хоть увидим как улыбается"
292,Спасибо тебе Саша ты создаёшь такой хороший контент что далеко не все блогеры так умеют. И встретиться с участниками событий и привести документальные кадры. Предлагаю историю про игоря иртышова. Маньяк педофил из Санкт Петербурга в начале девяностых. Вошел в историю как маньяк-проститутка
293,Спасибо за работу.
294,"Ну как так: почему с одной стороны не возникло никаких проблем, чтобы доказать убийство девочки невиновным Кравченко и с другой стороны, столько проблем, чтобы признать за Чикатило всех его 55 жертв? Особенно убил момент, где следователь сказал, что, если бы он не показал труп мальчика в могиле, которую рыл для себя, то чуть ли не дело могло развалиться  А нельзя было сразу к Чикатило применить те «способы расследования», которое вы к Кравченко применили???"
295,Саша спасибо за видос ты супер
296,"Знаете ,от чего в ахере ? Насколько наплевательское отношение у органов к жалобам детей на сексуальные домогательства ,на попытку скртыть то ,что они про*бались с результатами анализов группы крови .Вот ,почему ,я не верю ментам ! Им бы лишь раскрыть дело ,пофиг ,что даже не этот человек его совершил .А как работать нормально - хрен ! Жалко детей , остаётся надеяться лишь на то,что небезразличные граждане будут видеть таких мудаков в толпе и спасать детей самостоятельно .А тем ,кто так работает - горите в аду ,ребята ,а то привыкли ,блин ,"" нет тела - нет дела "" ."
297,"Саша, вы невероятный журналист! Я вами восхищаюсь  всегда очень интересно смотреть ваши репортажи"
298,"Чтобы расстрелять невиновного, доказательств особо не собирали. Просто вынудили признаться и поверили на слово."
299,"Снимите, пожалуйста, выпуск про Фишера."
300,"К моей матери чикатило подходил в Ростове на автовокзале. Она не успела на последний автобус в Новошахтинск и осталась ждать утренний. Разговаривать с ним она не стала, повернулась и просто ушла. Он стоял на верхнем балконе автовокзала в зале ожидания и смотрел вниз туда, шде кассы и наблюдал. Шакал."
301,"искренни жаль тех, кто был приговорен к наказанию, кого расстреляли, жертв кого убили. эти женщины и дети могли бы прожить до глубокой старости светлую и счастливую жизнь. мое сердце разрывается, когда я слышу эти истории, пусть и по несколько раз. это страшно и, к сожалению, мир никогда не избавится от таких монстров."
302,"О, какой формат Не только рассказывать о делах, но и разбирать  таковые, отлично. "
303,"Меня шокировал тот факт что несколько людей были свидетелями диалога Чикатило с жертвами и никто никак не отреагировал,типа -моя хата с краю,ничего не знаю,особенно мамаша с коляской и жертва маленький мальчик,бл….как же так !!!️️️"
304,"На сколько Костоев тщеславный человек, сидит аспекты на книге делает,рекламирует мол я Чикатило поймал посмотрите на меня! И полная противоположность Амурхан Яндиев, человек скромный, без фальши, который делал свою работу и спас жизнь ни одному десятку человек т.к. поймал много серийников! Низкий Вам поклон Амурхан Хадрисович."
305,"В конце 90-х училась в известном юридическом ВУЗе, где наш преподаватель по судебной психиатрии был членом всех трех экспертиз в Институте Сербского. Так вот все 3 комиссии признали его невменяемым, но публично допустить такого решения не могли, и я их понимаю."
306,"Спасибо за этот канал и видео! Только чуть не хватает спокойной размеренной интонации, которая была в ""делах"""
307,Сказочная девочка Саша! Обожаю !
308,"Поразительно, что у него жена и дети, у этого Монстра …! Неужели ничего не замечали?!"
309,Здравствуй Саша! Большая фанатка твоего дело и ума. Поздравляю с твоим каналом.  надеюсь у тебя будут также гость где мы будем слышать так-же твой мысли в тексте!  
310,"Самое неприятное для меня заключается в том, что я каждый день вижу детей, с которыми обращаются жёстко. Желание родителей вырастить из детей ""успешных людей"" приводит в крайних случаях к выращиванию маньяков."
311,Головаха Л.П. женщина была гостем на свадьбе у наших дальних родственников.
312,"Одинаково поражает чудовищность преступлений и так называемая оперативная работа. Количество жертв в этом деле, во многом зависит от таких вот следователей, которые хихикая дают комментарии своей работе в прошлом. Позор"
313,"в последнее время много интересуюсь темой чикатило и поражаюсь каждый раз. полицией, женой.. очень интересное дело, жалко, что подробности скрыты. из всей этой ужасной истории можно еще раз взять урок, что никому доверять нельзя, даже старые люди способны на такую жесть, это очень пугает. берегите своих детей, интересуйтесь ими, растите их в здоровых семьях, хотя бы старайтесь, чтобы потом из солянки травм не вышло что то подобное"
314,"Саша, большое спасибо Вам и Вашей команде, что ""копаете"" старые дела! Ведь ""люди на местах"" тоже виновны! Равнодушные, делающие как удобно, для галочки-на свободе и счастливо проживают свою жизнь. Хотя в их власти было остановить эту чудовищную серию убийств! Общество должно знать этих людей поимённо!"
315,Благодарю за интересную информацию! Сделайте пожалуйста выпуск про Тоньку пулеметчицу.
316,"Очень интересно посмотреть про дело ""Фишера"" и ""Витебского душегуба"""
317,"Здравствуйте, Александра! Очень нравятся Ваши работы! смотрела как подкасты, так и прочитала Вашу книгу. Очень бы хотелось услышать от Вас историю о смолинском маньяке, которого недавно задержали в Челябинске."
318,"Спасибо вам, Александра! Побольше бы историй, где правоохранительные органы проявляют халатность. Об этом нужно говорить"
319,"Ну,что за ДЕВКИ??? Что за слэнг у сотрудника милиции?"
320,"Было бы неплохо, если бы озвучивали ФИО сотрудников, из-за ""действий"" которых пострадали невиновные люди. Да и фотографии их пришлись бы к месту."
321,"Саша, спасибо за вашу работу! Желаю вам сил и вдохновения в новом качестве. Но вы, по-прежнему, уникальны и интересны. Удачи"
322,"Ну не возможно у мужчины оторвать яичники….. нет у них не яичников, ни яиц, этот орган называется яички. Поэтому не стоит своих детей приучать к тому, чтобы кушать яички (типа уменьшительно-ласкательное от слова яйца). Завтракайте яичницей, вареными яйцами, но не яичками. А яичники - это женские внутренние половые органы. Извините, крик души дочери уролога."
323,А что стало с теми следователями которые погубили Кравченко??
324,"В истории про Михасевича (Витебского душителя) там вообще один следователь Жевнерович отличился ""умом и сообразительностью"". Пересажал многих, искалечил жизни невинных, а его потом на заслуженный отдых по тиху отпустили без изъятия наград."
325,Радуюсь выходу видео про маньяка….надо бы задуматься…
326,"Кстати, хочу очень отметить приглашенную эксперта психиатра. Видно, что девушка профессионал, но и не боится говорить то, что доселе мало кто слышал. Понимаю, почему многие врачи с осторожностью высказываются на подобные темы. В голове людей ""понять мотивы маньяка = самому быть маньяком и психом"". В прошлом выпуске она сказала ОЧЕНЬ важные слова. Что люди с диагнозом шизофрения чаще опасны только сами для себя. Хотелось бы, чтобы понятие серийный-маньяк и психически больной, всё же нашли разделительную грань. Пускай, очень тонкую. То, что маньяки осознают, планируют, наслаждаются и повторяют свои злодеяния, как раз четкий показатель ясного рассудка. Как бы страшно не было от принятия этих фактов. "
327,"Саша невероятная, красивая, тонкая, умная 🫶"
328,"Подписался, лайкнул, и хочу сказать что формат ""дела"" был как то душевней, но все равно буду смотреть вас"
329,"Надеюсь в будущем еще увидим Амурхана Хадрисовича, ведь ему есть еще много чего расказать. Хорошо было бы подкаст или интервью с ним по поводу его профессиональной деятельности."
330,У Саши получилось сделать очередной выпуск про Чикатило интересным. Спасибо большое за Вашу работу! Хотелось бы выпуск про Геннадия Михасевича
331,Наряд у Саши очень подходящий  
332,"Думаю, было большим упущением не дать Чикатило раскрыться и рассказать все, как он мог сделать… "
333,"Сашенька рада вас видеть на ютубе! Благодарю за то что продолжаете делать, то , что у вас получается великолепно! Хотелось бы про сливко послушать, хотя смотрела уже много выпусков про него, но кажется что вы сможете рассказать что то новое, и интересней"
334,"Очень хороший выпуск, как и всё с вашим участием. Спецрепы у редакции уже засмотрела до дыр, а тут новый канал, лично ваш! Большое спасибо за вашу работу! Хотелось бы выпуск про Пичушкина и Головкина, про Джумагалиева... В любом случае - с нетерпением жду каждый новый выпуск, спасибо  "
335,"Я не в тему, но какая Саша красивая, божечки.. "
336,"как идея для след выпусков: самые громкие смертные казни, которые были ошибками следствий"
337,"Саша, спасибо вам! Всегда с большим интересом смотрела ваши репортажи у Алексея Пивоварова. И очень рада, что у вас теперь есть свой канал "
338,"Вся атмосфера потерялась, речь как у диктора и сама студия какая-то слишком стерильная, пропал уют"
339,"Странно , что улик чтобы казнить невиновных хватало , а улик наказать человека точно виновного нет. Система могла любого человека в принципе покарать. Даже если нет признательных."
340,""" романыч"" . Как "" мило""!  Прям по - дружески.  А если бы  на месте убитых детей оказались  дети  Яндиева, он бы так же  к маньяку обращался?"
341,"Мне понравилось, что сразу после обсуждения поедения половых органов маньяком - тут же пошла реклама о правильном питании  надеюсь это такая ирония зашитая была"
342,"Неприятное впечатление о следователе - ""яичники"", ""девки""...Все таки это не прямой эфир, можно было и переписать. "
343,"Всегда очень интересно слушать вас, но не очень приятно слушать следователей. Психолог дает интересные комментарии. Спасибо за выпуски"
344,"Сразу за сюжетом о том, что Чикатилло съедал плоть жертв реклама программы по питанию 5 баллов! Вообще противно есть будет. Как представлю, что уже после первого убийства девочки его могли казнить, бог мой, сколько людей бы выжило, сколько детей выросло"
345,"Мне было бы очень интересно полушать о Селигерском/тверском маньяке, Сергее Щербакове, насколько я знаю. Так вышло, что видела его лично несколько лет "
346,11
347,"То есть получается, если бы Чикатило соврал о своём ФИО в последний раз или сказал, что у него нет паспорта, то его бы опять не поймали."
348,"Как же так, женщины видили как странный мужик, уволил мальчика и ничего не сделали! Девочки видели как мужик приставал к мальчику, и никому не сказали. И это при том что маньяк орудует уже 11лет. Тут и правда как будто волшебный купол над ним висел. Ужас!"
349,Вопиющий не профессионализм органов. Сколько человек из-за этого пострадало.
350,"Боже, вижу количество просмотров и ТАК ГОРЖУСЬ ВАМИ! Вы этого очень достойны 🫶🥹Спасибо за проделанную работу!"
351,"Саша,снимите передачу о судьбах узниц-рабынь в Вятских полянах. Комин держал в заточении женщин,после освобождения жертвы подверглись травле общества и умерли в нищете,непонимании,отверженными. В газете Труд есть статья от 2000 года ""Клеймо"", которач ярко описывает их жизнь после освобождения. Так же поднимите проблему Спесивцева,где он сейчас и главное где его мать и сестра и почему  сестра не понесла наказания."
352,"Саша, не голодомора, а голода."
353,боже почему вас не взяли в мамкой нибудь фильм по семейку адамс Мартишей. вы были бы восхитительно обворожительны в этой роли
354,За творчеством Саши Сулим слежу давно. Очень нравилась ее работа в подкастах Холода. Также прочитала ее книгу «Безлюдное место» и мониторила посты в ее инсте.  Чувствуется профессиональная журналистика. Благодарю! 
355,"Конечно, это очень страшно"
356,Давайте об ангарском маньяке
357,Интересный материал! 
358,"Бесят меня эти мужики постсоветские, какими бы ""гениальными"" сыщиками они ни были. Одно то описание девочки отличницы не знавшей мужчин. Какая разница кого она знала или не знала. Мерзость вызывают не меньшую, чем маньячеллы"
359,"Люблю Сулим, рада что у Саши свой канал. Именно этот сюжет не понравился, слишком скомканно и сжато."
360,"Пал Палыча Чернышёва, также провести к уголовной ответственности, за ошибку экспертизы!!! Сколько Чикатило ещё убил и изнасиловал! По ошибке Чернышёва"
361,"6:13 Интересно, откуда у мужчины взялись яичники."
362,"Жутковатая атмосфера у вас, но интересно и слушать, и смотреть."
363,"Спасибо Александра, это был прекрасный рассказ о таком ужасном человеке."
364,"Расскажите о деле""черноколготочника"".Еще очень резанансное дело Сидляр, все убийства были в Таганроге"
365,Подписка однозначно
366,Спасибо большое за новый выпуск! Понимаю вашу тревожность о «втором альбоме». Надеюсь что ваша работа будет получать достойное внимание и большие просмотры !!! Именно ваш стиль повествования и расстановка  акцентов воспринимаются как самые этически верные.
367,"Саша, огромное спасибо за собственный канал на YouTube "
368,"Саша, расскажите пожалуйста по Фишера"
369,"Костоева вообще нужно списать .. Позорно,что его показали..."
370,"Маньяк ""Электрик"" вышел на свободу в этом году.Снимите про него,чтобы люди были в курсе"
371,"Александра, спасибо вам большое за интересное видео о Чикатило. Вы очень ответственно подходите к делу, это ощущается почти по каждой вашей работе) Из пожеланий : про Сливко Анатолия Емельяновича."
372,"Жду от вас про “Ангарского"" маньяка"
373,"Александра, расскажите, пожалуйста, про архангельского мясника, маньяка Третьякова. Мне как жителю города было бы интересно послушать :)"
374,уже столько раз смотрела про чикатило что уже наизусть знаю хронологию
375,"Самое страшное в аресте невиновных,это даже не то,что  ни в чем не повинный человек страдает в тюрьме,а то, что бандит убийца на свободе и угроза другим людям!"
376,"Он работал в интернате 33 в городе новошахтинск (тогда называли интернат 32, из за него скорее всего поменяли), маме было около 18 лет, он жил от моего дома в 200 метрах, и прям напротив первой работы моей мамы."
377,Следователь прям сделал паузу и акцент-что Голосовская в 16 лет -девственницей била!
378,"Саша , так приятно слышать знакомый голос ! Редакция и такие сложные , страшные репортажи . Молодец , интересно , так держать"
379,"я просто скажу спасибо, за то, что приглашаете экспертов и серьезно и внимательно подходите к выпускам"
380,Молодец! !!
381,"Мой исполнительный директор раньше работал в милиции. Он был в составе группы, которая ловила этого... Мне так хочется его расспросить об этом деле, но не могу. А послушать из уст милиционера было бы интересно."
382,Бухановские - великолепны!. Было честью слушать лекции самого Александра Олимпиевича и Ольги Александровны на ростовском журфаке.
383,Как только убилии мужчину хоть одного все органы сразу побежали искать преступника. А женщин и детей десятилетия пачками убиваютт ай да и хрен с ними ничего страшного. Уже не первый раз это замечаю.
384,Саша расскажите по пдробнее про Сергея Бережного с интервью оперативников
385,"Так это не Чикатило был не уловимый, это сотрудники правоохранительных органов не хотели работать, а лишь козлов отпущения не напрягаясь искали. Вот интересно, а сколько сотрудников правоохранительных органов, понесли уголовное наказание за свои действия в отношения невиновных. По сути таких сотрудники правоохранительных органов можно смело приравнивать к нацистам. Разницы никакой, и те и другие брали невиновных пытали и в конечном счете убивали."
386,"Работать надо, работать. А не выбивать показания и так «закрывать» дела. Скольких жертв можно было избежать"
387,"В прошлом году смотрели с дядей сериал про него, он мне тогда поведал историю."
388,Я была классе в шестом (уже больше 10 лет 
389,Читать дальше
390,"Я не читала оригиналы дела, но слышала что те кого наказали за чикатило, было параллельно дела с детьми которые совпали по времени с чикатило "
391,"Саша, Вы умница, что открыли свой канал!!! Считаю Вас  профессионалом своего дела! И Вы невероятная красотка!) ️"
392,Этот ужас всегда со мной
393,"Саша, а вы не могли бы разобрать Витебское дело?"
394,"Больше 10 лет бродили вокруг да около, пока Чикатило буквально сам в руки к ним не пришел. Абсолютный позор советской милиции. Бездарность, халатность и пустозвонство."
395,"Слушаю это все и волосы дыбом. Как так получалось, что маньяка несколько раз задерживали и отпускали, им казалось, что мало улик. И если бы он сам не раскололся, где какие трупы - то еще и отпустили бы.... А невиновного человека под расстрел. Это что???"
396,"Ееее! Новый выпуск как же я рада вашему каналу, вы просто супер!"
397,"Больше всего удивляют показания свидетелей в разных эпизодах убийств детей: мол, видел- видела этого ребёнка, как его уговаривает или ведёт какой-то мужчина. И их бездействие.."
398,"Смотрела другие видео и разборы и было сказано, что он в маленьком возрасте во время войны провел в яме с трупами целые сутки и это повлияло на его психику."
399,"Саша, спасибо , что радуете нас своими работами"
400,"Больше всего поражает , конечно,  «супер» работа всех, кто должен был ответственно выполнять свою работу, идут такие убийства, а медики элементарно группу крови не смогли определить и только когда жертв  реально много, с верхов приходит разнарядка, и наконец то начинают работать хоть какие то спецы, ужас То есть когда жертв немного , то и шевелиться особо не стоит"
401,"Саша, вы прекрасны как всегда️"
402,Саша сделайте фильм о муханкине.
403,клиническая психологиня просто потрясающая! жду её в других выпусках!
404,"Как же я обожаю Сашу. Лучше, чем рассказывает она, никого нет. Книгу читала, на одном дыхании просто."
405,Сделайте как нибудь видео про Сливко
406,"Саша прикольная, и видео хорошо сделано"
407,"Очень восхищен подачей материала,хотелось узнать про перевал Дятлова"
408,Жду коллаб от Фауста и Саши Сулим️
409,Я бы с буквально сошла с ума если бы узнала подобное о своём муже или отце...
410,Расскажите про Бицевского маньяка
411,"А ведь если бы ещё при первом убийстве расследование шло действительно хорошо, то остальных жертв можно было спасти..."
412,"Саша, спасибо за Вашу работу! Слежу за Вашими успехами уже давно и поздравляю с открытием новоего проекта. "
413,Яндиев обсирает покойного Бухановского!У победи -сто мамок-когда 12 лет искали-где мамки находились?
414,6:10 
415,"Вижу Сашу Сулим, ставлю лайк не глядя!) Саша, это успех! Спасибо Вам за Вашу работу! Успехов"
416,"Невозможно представить состояние Кравченко, который был осуждён и расстрелян за преступление, которое он не совершал. Так больно за него"
417,"Романычу просто повезло, из за того что менты привыкли вышибать признания, угрожать, что и сейчас не поменялось, он  почувствовал свою безнаказанность потому и убивал.... вывод виноваты органы правопорядка, если их так можно назвать, сажать кого угодно лишь бы погоны сохранить а лучше звезду получить. То что он не пошёл в разнос, зная что его ищут, говорит о том, что он был очень даже вменяем, и делал всё ради своего удовольствия."
418,У всех работников полиции одна история . Они плохие а вот я чистенький и правильный
419,"Саша, расскажи про семейство людоедов, которые делали из людей тушонку, пельмени и пирожки и угощали соседей. История занимательная. К сожалению, не помню фио причастных, но помню точно, что дело было в россии"
420,"Саша, Вы для меня открытие этого года! очень рада, что теперь могу наслаждаться вашим контентом"
421,про мужчину с тремя яичниками жестко.
422,Реклама про пищевое поведение и смех и грех XD
423,Амурхан Яндиев потрясающий следователь! Увидеть бы с ним какое-нибудь интервью или подкаст... Очень много всего интересного было в его практике
424,"Как приятно слушать Вас Саша , как я рада что открыли свой канал ️"
425,"Все хорошо,но «яишники» у мужчины меня убили"
426,Пожалуйста снимите передачу о Gary Leon Ridgway
427,"Александра, огромное спасибо за такой интересный канал!!! Было б интересно посмотреть про Анатолия Москвина, некрополиста, делавшего куклы из трупов!"
428,"Очень рада, что нашла этот новый канал. Автор делает отличную работу, очень интересно и то, что  автор привлекают специалистов, это добавляет изюминку к презентациям историй. Саша, молодец! Костоев Исса следователь от бога, таких, наверное, больше нет. Если бы не он, ублюдок чекатило бегал бы ещё дольше и убил бы намного больше невиновных людей."
429,Можно пожалуйста про Александра Бычкова эфир!!!!!!!
430,"Александра, вы удивительной красоты женщина."
431,"Мы росли в 90ые, мой папа работал в милиции...ох, сколько тогда тоже было страшных случаев- уводили детей, убивали, находили в оврагах тела, очень страшно было. Помню была история- пропала учительница, не вернулась домой, ее искал отец..нашли не далеко от трассы, в кустах изуродованное тело, а на кустах висели ее косички привязанные... И много историй было, когда детей уговаривали сесть в машину...за конфетку или игрушку...нас родители запугивали этими историями, чтобы мы ни к кому не подходили!"
432,"Ещё одно подтверждение, что в органах работают преступники. Если бы их было хотя бы меньше, то не было бы и такого огромного  числа убийств Чикатило. И эти преступники никак не наказаны."
433,"Бляха, 9-летняя девочка в красном пальтишке оказалась просто как что-то там… ни туда, ни сюда… Ребёнок так страшно умер и никого за нее не осудили "
434,Можно сделать выпуск про слонов в Рязани.
435,"Спасибо Саша, что она осталась на ютубе ️"
436,"Не представляю,что может сломаться в мозгах человека,чтобы творить такое."
437,"Как человек выходил всегда чистым? Прям 20 ножевых, вырезал органы и ни единой капли крови на нём не оставалось? Меня одну этот факт смущает? Я сейчас сериал смотрю, вот он в парке убил девушку, выходит из кустов и наталкивается на дружинников которые у него спрашивают который час? Он поднимает руку, смотрит на часы и руки чистейшие!!!!"
438,"И вот вопрос- посадили тех, кто анализы неправильно сделал?  Как наказали? Ведь после этого он ещё около 20 человек убил!"
439,"Саша, Вы прекрасны . О тяжелых и сложных вещах простым языком. Спасибо всей команде за труд️"
440,"Саша Сулим очень хороший репортер. Ставлю лайк. Одна меленькая ремарка: если она берется рассказывать о такой заезженной теме, как Чикатило, неплохо было бы привнести в эту тему что то новое, объяснить, почему она рассказывает именно об этом деле. Иначе ее рассказ просто становится в один ряд с сотнями других и теряется там."
441,Спасибо Бухановскому. Именно он предугадал псих. анализ в точности Чикатило. 
442,"Простите,я не оправдываю Чикатило, но как вы не понимаете что маньяками становятся, а не рождаются.. он ждал свою маму с работы в кустах, когда над ним издевались ребята. Ему с детства показывали что такое насилие, и вы считаете это нормальным? Андрей Романович Чикатило виноват в преступлениях,но не виноват в своих мыслях, то что его тянуло убивать.. его можно понять, почему его все так ненавидят, ведь он мог вырости хорошим человеком, да, может с какими то отклонениями, но если бы не насилие с детства этих видео не было бы и о нем бы не знали как « серийный убийца» в первую очередь нужно винить его семейку и ребят которые над ним издевались, а только потом его."
