,comment
33,"Чикатило поймали на второй день после первого убийства. Но отпустили поверив словам жены. А так местная жительница указала именно на него, но тогда никого не смутило, что у человека, которого уволили из училища за приставания к детям, алиби появилось просто со слов жены"
34,"Я ох...ю от халатности и наплевательском отношении тех следователей, что гнули линию ""дела дураков"", это ж кем надо быть, чтобы не видеть ТАКИХ улик перед своим поршивым носом! Надеюсь что они поплатились за свои отвратительные ошибки!"
35,"Очень коробит, что один из следователей говорит о девушках свидетельницах и пострадавших «девки», а к Чикатилло обращается по отчеству…..и еще так по-отечески, как к нашкодившему ребенку…. А мимо проходящие девушки не удостаиваются элементарного уважения."
36,"Преступлений могло быть меньше , если бы  люди не были столь равнодушными, люди видели , что их знакомый подросток, идет с нкзнакомым  мужчиной и молча наблюдали."
37,"Жаль, что не прозвучало количество людей, погибших по халатности расследователей, отпустивших убийцу. Надеюсь, что хоть кому-то из них это снится в кошмарах"
38,"Скольких жертв могло бы не быть, просто ужас сколько лет халатно не могли это чудовище поймать"
39,"Этот Кравченко убил однокласницу, вырезал глаза, но был несовершеннолетним и ему дали 10 лет. Больше не могли по закону. Ага, жалейте его...."
40,Сулим - гений маркетинга. После слов про то как Чикатило жевал и частично съедал отрезанные им половые органы жертв включить рекламу диетолога где советуют как записывать что вы съели. Это пять.
41,"Как же это все страшно!!! Страшно, что есть такие люди, страшно за людское равнодушие, за халатность и палочную систему. Сколько невиновных сидит по тюрьмам или в сырой земле. Вечная память невинно убиенным!  Спасибо Саше за такую грамотную и интересную работу."
42,"Действительно, большая беда начинается с маленькой лжи. Про жену совсем мало сказано, но мне очень интересен ее психологический портрет и мотивация на то, чтобы давать ложное алиби при первом убийстве в 1978 году. "
43,"Саша, слушаю тебя и жуть нагоняет: хотя я обычно весьма стойко такие вещи переношу. Это особый талант. Спасибо за новый формат, круто, что свой канал завела на эту тему "
44,"Переход на 18:30 от поедания маньяком половых органов жертв к рекламной интеграции про дневник питания это шедевр,режиссура запредельного уровня ️️"
45,"Почему-то с невиновными не церемонятся: сразу давление, шаниаж, пресс-хаты и тд. Как в руки попадает настоящий убийца, сразу прям все боятся сделать лишнее движение или лишнее сказануть, подход ищут, доказательства собирают - это так важно становится, оказывается."
46,"Эту историю наверно все знают наизусть. Но подача Саши, как глоток свежего воздуха "
47,"Александру,невероятно интересно слушать.Раньше не смотрела тру крайм такого формата,но подкасты Саши,не могу обойти стороной.Поставленная речь,проработанный сценарий,эксперты.Спасибо за такое трепетное отношение к своему труду "
48,Интересна история Анатолия Сливко. Я родилась и выросла в селе недалеко от Невинномысска. А о нем узнала уже будучи взрослой.
49,"Самое удивительное как старший следователь Амурхан Яндиев помнит имена и фамилии всех жертв и других людей по прошествии столького времени, это говорит о Его профессионализме!!!Думаю еще и поэтому Саше было интересно делать этот проект. Хороший фильм"
50,"Я фанатка Саши Сулим! Читала книгу, смотрела все репортажи Редакции, Дела. И увидя, что она открыла свой канал и продолжает освещать тру Крайм темы, была очень рада. Формат может и отличается от Дел, но харизма и талант Саши не меняется и она хороша всегда! Я желаю безмерного успеха! Спасибо!"
51,"Очень нравится Ваша дикция, образованность, внешность и очень интересный контент! Спасибо Вам за проделанную работу!"
52,"Эта история не о жестокости маньяка,а о том,насколько бесполезна (и по сей день) вся структура МВД. Насколько там царствуют такие же человеческие слабости,как страх,гордыня,неполноценность и т.д. "
53,Историю гораздо интереснее слушать с комментариями профессионалов.
54,"Это не глупо, а очень подло, что обвинили больных людей. Всё ради награды."
55,Как же интересно слушать Иссу Магометовича
56,"Да, ошибки следователя многим стоили жизни, как земля носит этих извергов, упаси Господи."
57,"Саша, поздравляю с мощным стартом канала!"
58,Моя бабушка - однокурсница Александра Олимпиевича Бухановского. Общался с ним лет 20 
59,51
60,"Саша, спасибо за новые ролики, вы супер. Продолжайте в том же духе "
61,Скучаю по формату подкаста
62,"Отличный формат. Подкасты тоже были невероятно интересны, но подобная,  структурированная и заранее проработанная подача материала,  и отсутствие перебивающих, задающих (часто глупые и не к месту) вопросы гостей, нравится намного больше. У вас замечательный голос и прекрасная дикция!"
63,"За дело берутся проффессионалы сыска и .... маньяка ищут ещё 10 лет. Страшно представить сколько ьы его искали ""непрофессионалы""."
64,"Этот формат гораздо лучше! Никто не перебивает тупыми комментариями)! Спасибо, мечта сбылась!"
65,"Несовершенство правоохранительной системы СССР, желание выслужиться и получить повышение приводило к трагедиям. Очень жаль, что до сих пор эти органы не признали свои ошибки, ценою в человеческие жизни, не извинились и не покаялись. Ведь ещё в 1978 году можно было бы все завершить. "
66,"Нам всем известно то, кем был Чикатило. Почему мы до сих пор по именам не знаем тех сотрудников милиции, прокуратуры, которые допускали ошибки. И понесли ли эти""товарищи"" заслуженное наказание!"
67,Мужчина с тремя оторванными ЯИЧНИКАМИ практически довёл меня до истерики
68,Здравствуйте Саша.Благодарю за труд Вас и ВАшу команду!За деликатность !
69,"Отличные видеолекции, очень интересно смотреть! Спасибо вам, подписалась"
70,"Хочу чтобы Саша не переживала и этот выпуск тоже набрал несколько миллионов просмотров.  Учитывая, что имя героя стало словом нарицательным, интерес точно должен быть."
71,"Влюбилась в Сашу после подкаста «Дела». Очень рада, что теперь она ведет свой собственный канал, но чисто субъективно, хочется слушать как она именно рассказывает нам историю, спокойным голосом, как будто мы сидим с ней на кухне, а не смотрим, как кто-то уже сказал, новости по телевизору. В любом случае, желаю успехов и буду смотреть)"
72,"Безумно Рада, что наткнулась на ваш канал. Очень интересно! Спасибо за ваш труд!"
73,"Только вчера вечером открыл для себя Ваш канал, спасибо за столь интересные видео и Вашу работу! Отдельная благодарность за потрясающую скидку на Тею, где-то читал о данном боте и после напоминания в ролике решил приобрести. Экономия в 65% - супер "
74,"Саша была неотразима как журналист в лебелсмарт, а сейчас она просто ОФИГИТЕЛЬНА как артистка! Спасибо тебе, Саша."
75,Пересмотрел все выпуски криминальной России и прочих документалок. Думал меня ничем не впечатлить. Тем более заезжанная история Чикатило. НО!
76,"безумно обожаю ваши видео, спасибо, они спокойные и раскрывают все, приятно смотреть и слушать"
77,"Вина на тех, кто пытался закрыть дело после первого убийства. Подлая, гнилая система"
78,"Сколько не смотрел это дело всё равно остаётся какая-то недосказанность, но правды мы и не узнаем никогда."
79,"Казалось бы, миллион фильмов и передач про этого монстра, но нет. Саша умудрилась проделать потрясающую работу, снова перелопатить гору фактов и показаний, совместить с мнением эксперта и воспоминаниями дочери Бухановского. Апплодирую стоя"
80,Сколько же неуместных комментариев о внешности Саши.
81,"Саша, вы большая молодец. Такие сложные, чудовищные темы и так деликатно...."
82,"Очень здорово, что вы зовёте на интервью следователей конкретного дела. Невероятно интересно слушать. Только закончила предыдущий выпуск, как тут же залпом уже посмотрела новый)"
83,"Саша - как всегда прекрасно) читала пост в инст - мне кажется каждый твой новый проект лучше предыдущего, честно говоря) потому что вот эта идея с привлечением людей, которые расследовали это дело - это не просто правильно, но и уже как важная фишка твоих проектов. ведь я давно за тобой слежу и ты всегда говоришь, что хочешь показывать людей, которые на самом деле являются героями в этих историях, а не маньяки-садисты. это прекрасный пример для всех тех, кто хочет снимать трукрайм - показывайте и рассказывайте про следователей, а не романтизируйте маньяков."
84,"С юности смотрю фильмы про него и каждый раз как первый раз. Не могу поверить, что человек способен на такое .."
85,"Саша, спасибо за интересный выпуск,из него я узнала некоторые нюансы о жизни Чикатило,которые не знала раньше снимите, пожалуйста, видео о Елизавете Батори,второй Салтычихе."
86,"В России нельзя, чтобы вернули смертную казнь!!!Сколько невиновных расстреляли….есть люди которые не понимают, что пожизненное это высшая мера наказания !"
87,"я, когда прошлый выпуск про женщин-маньяков увидела, подумала -- ну наконец-то ютуб правильно мне предложил контент, я обожаю Сашу Сулим! Пошла на канал, а там ничего кроме еще не было. Теперь ничего не пропущу, все буду смотреть и лайкать!"
88,"Саша, поздравляю с открытием канала! Хотя темы тяжёлые..."
89,"Саша Вы умница! Вы талантливый человек,  Ваш канал помогает быть информированным и быть на чеку"
90,"Саша, очень нравится, что вы привлекаете людей, напрямую связанных с обсуждаемыми вами делами, интересные эксперты. Хочется смотреть даже про маньяков, про которых казалось бы уже все всё знают"
91,"Поразило, если честно, как много ситуаций, когда ребенка уводили за «жевачкой, марками» при свидетелях и свидетели не сделали НИЧЕГО."
92,"отличный формат, отличная подача, лайк, подписка, респект"
93,"Спасибо! Очень интересный формат подачи информации, все на одном дыхании, даже не поняла, как почти час прошел. А можно в таком же духе рассказать о Фишере?"
94,"«Изобретательность» - это как оправдание того, что они не могли его найти. Типа это не мы бестолочи, это преступник изобретателен️"
95,"Я родом из Шахт и с самого детства нам рассказывали за Чикатило, папа со мной поделился как, будучи ребенком, стоял на остановке и к нему подходил Андрей Романович, предлагал идти с ним и кушать вкусности, максимально жуткая история, спасибо, что освещаете!"
96,"""Труп мужчины с оторванными яичниками"". Сначала подумала, оговорился человек. Но он для верности ещё три раза повторил)"
97,"Походка Саши в конце пугает  Подкаст супер, не могу смотреть ""дела"" без Саши, поэтому этот формат заходит на ура!"
98,"Жути насмотрелась на ночь. И так кошмары мучают... Спасибо, Саша! Не за кошмары, а за выпуск."
99,"Ужас даже не в том ,что творил этот монстр. А то что якобы"" защитники закона "" творили бесчинства , столько погубленных жизней из за таких недо следователей . А ведь могли поймать раньше если бы работали , а не искали козла отпущения . Смерть этих невинных жертв и на их совести тоже."
100,"Саша, огромное спасибо за вашу работу, очень крутая подача, невероятно интересно смотреть и слушать."
101,"Eu amo todos seus conteúdos! Bom trabalho, continua! Um abraço de Angola ️"
102,"Саша, вам тааааак идёт это платье!!!! Выглядите роскошно!!!! Это что касается внешнего вида))) что касается творчества -  огромное спасибо за ваш канал, за проделанную работу! Прошу, не останавливайтесь!!"
103,"Как это прекрасно, когда человек находит свою нишу. Саша Сулим - мастер своего дела"
104,Саша какой труд ️ Благодарю 
105,"Какое счастье, что теперь можно спокойно лопать свекольный салат под документалистику Саши без опасности заплевать экран от возмущения от неуместных кринжовых шуток каких-то чуваков, которых приглашали в Дела. С интересом посмотрела оба выпуска, хочется пожелать этому каналу продуктивного долголетия. Трукрайм от Саши Сулим - единственный русскоязычный материал, который правда комфортно слушать."
106,"А сделайте еще, пожалуйста, про Софью Жукову- пенсионерку-каннибала! Только что увидела короткий ролик о ней. Хотелось бы узнать о ней поподробней, историю ее жизни, что ею двигало... Это же вообще дикость- пожилая женщина- и маньяк-канибал!!! Просто в голове не укладывается..."
107,"Как казалось бы всё символично.. Фамилия у него, очень подходящая. Чикать тело... ("
108,"Преступники, которые пытали и на давили на невиновного, зная что настоящий преступник гуляет на свободе...они были наказаны?"
109,35:00 просто реву… сколько страшных историй … сколько невинных людей он убил и сколько из-за него посадили и загубили людей . Это был просто демон на земле …
110,Ужасно. Очень жаль всех убитых. У меня просто сердце разрывается как мучительно люди гибли. Маленькие дети. Никому не причинившие зла. И  жаль невиновно растрелянного в этих преступлениях. Из-за этой непростительной ошибки..
111,"Вызывает уважение, что среди глоупцов были и настоящие люди, умные и порядочные. Которые и поймали гада. Саша молодец, хороший выпуск."
112,Очень интересно! 
113,Могли посадить за первое убийство и предотвратить столько кошмарных смертей...
114,"Светлая память жертвам! Это огромное горе, огромная беда! Поломанные судьбы…"
115,Очень красивый образ у Александры в этом выпуске 
116,"Саша,спасибо большое за Вашу работу."
117,"Очень страшно смотреть, как он дышит вытаращив глаза за решёткой, будто упиваясь горем людей. Светлая память людям, которые наивно последовали за этим волком в овечьей шкуре. P.S. У Саши очень красивое платье"
118,"Саша, какая Вы молодец! Ваш голос, интонация -услада для слуха! Больше миллиона просмотров за день! Это показатель Вашего таланта. Спасибо Вам за Вашу работу! "
119,Спасибо за ваш труд!
120,Как всегда на высоте!
121,"Саша, спасибо большое , что Вы открыли свой канал и не оставляете Ваших зрителей без контента. Смотреть и слушать Вас - сплошное удовольствие, Вы так обалденно подаете материал, а манера повествования , жестикуляция и речь - в самое сердечко. Не останавливайтесь, вдохновения Вам и интересной работы!"
122,Умиротворение от голоса Саши и познавательный интерес к содержанию видео это главное удовольствие от канала
123,"Видео очень широко показывает какими являются серийные убийцы, благодарю за контент"
124,"Всегда во все времена были и будут люди которые работают на совесть и те кому бы быстрее дело закрыть . И есть хитрые и изворотливые преступники и просто безразличные люди, которые проходят мимо."
125,"Саша, спасибо Вам за Ваш собственный канал. Никогда ранее не интересовалась этой темой, но благодаря Вам стала смотреть подобный контент. Эта тема помогает не терять бдительность. Спасибо Вам за Ваш труд."
126,"Саша, будет великолепно, если вы в таком формате расскажете и истории из Вашего прошлого проекта. Чтобы ничего не отвлекало - только Вы, история и факты. С уважением к Вам и Вашему делу!"
127,"Было бы интересно послушать про Барнаульского маньяка,которого поймали спустя 20 лет"
128,С таким правосудием-СМЕРТНУЮ КАЗНЬ ВВОДИТЬ -НЕЛЬЗЯ!
129,"Про Чикатило пересмотрено много материала, как документального, так и художественного. И вроде ничего нового не узнаешь. Но в Сашином исполнении пропустить нельзя. Начинаю просмотр в предвкушении качественной подачи, интеллигентной речи, приятной картинки (когда в кадре Саша )"
130,Хочется с Сашей выпусков по 2 часа
131,"Бедный растрелянный Кравченко наивно предполагал, что ""настанет день и ментам станет жаль, что они его расстреляли"". Он не знал, что этим людям никого и никогда не бывает жалко. Расстреляли невиновного? И х... с ним. Лес рубят..."
132,"Важное (да, важное) уточнение"
133,"Саша, огромное спасибо за вашу работу, восхищение!!! Моя мама в восьмидесятые училась в Новочеркасске, ездила к родственникам в Новошахтинск еженедельно, до сих пор с ужасом вспоминает это время и благодарит судьбу, что ее это не коснулось! Поразительно, насколько может быть извращен человеческий мозг, насколько любая человеческая оплошность в профессиональном плане может оказаться фатальной…"
134,"У Саши действительно интересная информация и также приятная речь, которую внимательно слушаешь. Таких бы преподавателей и многие предметы бы знали точнее. Но я безумно прослезилась на том моменте, где пришли к матери невиновного по этому делу убитого. Сердце сжалось. "
135,"Спасибо! До мурашек, столько боли… и злость берет за тупость при расследовании, главное отчет, столько жизней могли спасти"
136,"Как же тошнит от ментов, которые ради наград готовы посадить и расстрелять невиновного. Но в то же время пятую точку не поднимут, чтобы найти маньяка. Удивил следователь, который называет мужские половые органы ""яичниками"" и хихикает, говоря об убийствах. Удивительно, что маньяка вообще поймали с такими талантами."
137,"На счёт ""мифов"". Голодомор тоже миф. Голод в те тяжёлые времена был много где. В Поволжье и Казахской ССР и т.д."
138,Какой же бред и ерунду они говорят... Сделал ненормальные вещи = нормальный. Что за бред?! 
139,"Божечки, если мы получили этот формат благодаря уходу проекта с комиками на вк - я шлю вк поцелуйчики и благодарность! Это же именно то, чего я так хотела, посмотрев один раз тот проект: обсуждение дела с профессионалами, а не страшилки вожатой детям в пионерлагере )))) Спасибо, Саша! Это действительно интересно смотреть. Успехов и процветания Вашему каналу и проекту тру крайм "
140,"Какая потрясающая постановка кадра с Сашей: этот фон, её поза, подвешенный микрофон. Обалденно смотрится"
141,"Я ОБОЖАЮ ВАС Александра, вы так завораживающе и интересно рассказываете все дела! вы просто супер, прошу продолжайте в том же духе! Мы вас смотрим и уважаем!"
142,"Саша,спасибо за подачу информации.Лаконично,даже интеллигентно.Тема моя,пересмотрела и перечитала много.Случайно наткнклась на Ваши видео,много пересмотрела про тех,о ком уже знала.Много нюансов новых.Затянуло,спсб!."
143,Преступник был информатором по розыску себя самого. Позорище просто. Ещё и невиновного расстреляли
144,Как после ваших фильмов перестать видеть маньяка в каждом прохожем
145,Было круто и очень интересно 
146,"Спасибо за эту работу. Интересно и слушать и смотреть. Горько, больно… сколько ошибок, сколько жертв…"
